Character,Country,Popularity_Score,Avg_Episodes_Watched_Per_Year,Merchandise_Revenue_MillionUSD,Popularity_per_Episode,Revenue_per_Episode
Shinchan,Canada,0.5548924009822622,80.0,3.949924724368964,0.9144046230465134,0.048764502769987214
Paw patrol,France,0.5933819555234471,48.0,22.31606244865129,1.6445290853730774,0.4554298458908427
Spongebob squarepants,Russia,0.34095487897405163,127.5,183.7495147752829,0.29457928187420507,1.4299573134263261
Motu patlu,United Kingdom,0.6100955322799224,50.0,27.430804382862224,1.6355106404720594,0.5378589094678867
Mr bean,Egypt,0.5712247291277124,9.0,40.715313915210565,7.683135775923722,4.071531391521057
Mr bean,Russia,0.5574452583258726,100.0,89.88446547664522,0.7376128535560461,0.8899452027390615
Shinchan,China,0.3667275676351284,53.0,47.33693889068305,0.7817777162957112,0.8766099794570935
Shinchan,France,0.290719197709473,5.0,87.70944109744121,4.891668810790436,14.618240182906868
Motu patlu,Australia,0.435977071249591,72.0,60.29551386156268,0.7388753837255148,0.8259659433090778
Motu patlu,Saudi Arabia,0.4044367087429817,73.0,13.710754985476516,0.6567438693467753,0.18528047277670967
Mickey mouse,Australia,0.5141406240363637,71.0,76.62796725880435,0.932898555053171,1.0642773230389493
Doraemon,Canada,0.3125353644391655,60.0,22.20944392967342,0.5416860476729487,0.3640892447487446
Pokemon,United Kingdom,0.3601950158993586,11.0,183.7495147752829,3.4258523004144834,15.31245956460691
Mr bean,China,0.2649062828269426,61.0,85.7407223543689,0.4029136256162911,1.3829148766833694
Shinchan,Brazil,0.6281376281832989,26.0,98.54557553419286,3.2024088667785757,3.649836130896032
Paw patrol,Australia,0.4594904612085993,100.0,5.9640913891314025,0.5734458324913427,0.05905040979338022
Paw patrol,United Arab Emirates,0.3558666068812059,77.0,59.85739619981068,0.5176609632285609,0.7674025153821882
Motu patlu,Canada,0.4986706204537732,14.0,62.49476629381619,4.303338592250997,4.1663177529210795
Tom and jerry,Canada,0.60987962239348,124.5,80.90289438324909,0.6643386092747466,0.6446445767589569
Shinchan,United Kingdom,0.20916209121991,31.0,21.15613392041784,0.4857747180468452,0.6611291850130575
Doraemon,France,0.1946124610239791,37.5,55.616361691512736,0.3397913264979279,1.444580823156175
Tom and jerry,Saudi Arabia,0.1420393664511978,15.0,21.797577295635648,0.26143036355536153,1.362348580977228
Mickey mouse,Canada,0.5963077250049938,8.0,183.7495147752829,9.00857466600441,20.41661275280921
Mr bean,United Kingdom,0.39539766680267485,63.0,82.23310171618463,0.73545315794686,1.284892214315385
Motu patlu,France,0.5187670375126688,47.0,12.418833433291333,1.4156627465838827,0.25872569652690275
Shinchan,Italy,0.18564819021590434,29.0,71.16974309958289,0.3854859467644349,2.372324769986096
Mr bean,Italy,0.19095302793431757,69.0,41.43089795330247,0.17803616523481103,0.5918699707614639
Mickey mouse,United Arab Emirates,0.6098679338110882,31.0,175.25548001511754,2.6053911540751797,5.476733750472423
Pokemon,Brazil,0.5095130499266795,16.0,183.7495147752829,3.9050225664999925,10.808794986781347
Mr bean,Japan,0.4574172181196659,54.0,25.154459518265448,1.0466743625623967,0.45735380942300813
Shinchan,Nigeria,0.6593418742500636,22.0,67.09019552604896,3.98900006284974,2.9169650228716937
